time,ai,data,good,movie,spark
2019-10-31 13:27:50 UTC,13,0,4,178,18
2019-10-31 13:28:50 UTC,10,2,10,244,11
2019-10-31 13:26:50 UTC,19,4,8,226,14
2019-10-31 13:29:50 UTC,15,1,4,209,14
2019-10-31 13:30:50 UTC,37,5,9,207,8
2019-10-31 13:25:50 UTC,9,4,3,176,17
